" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"PC1061","In Person Event","Nirinbo's Turin SPE 2026 Top 4 Team","🥉","Davide Carrer","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Mystic Water","","","Focus Sash","","","Roseli Berry","","https://pokepast.es/f5307149c6d6c0a7","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","4th","https://x.com/Nirinbo_VGC/status/2063919373744562642","-","https://victoryroad.pro/2026-turin/","Nirinbo_VGC","","Floette-Eternal-Mega","Charizard","Incineroar","Basculegion","Whimsicott","Garchomp","","",""
"PC1060","In Person Event","Lorenzo Profeta's Turin SPE 2026 Top 8 Team","","Lorenzo Profeta","","","","Froslassite","","","Scovillainite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Black Glasses","","https://pokepast.es/f4d6a167183f0d12","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","5th","https://x.com/Lorenzao14/status/2063959178217926903","-","https://victoryroad.pro/2026-turin/","Lorenzao14","","Froslass-Mega","Scovillain-Mega","Basculegion","Lycanroc-Dusk","Sneasler","Kingambit","","",""
"PC1059","In Person Event","Ghiso's Turin SPE 2026 Top 8 Team","","Matteo Ghisini","","","","Froslassite","","","Scovillainite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Black Glasses","","https://pokepast.es/b477af692fb45dd7","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","6th","https://x.com/Ghiso__/status/2063679863744086413","-","https://victoryroad.pro/2026-turin/","Ghiso__","","Froslass-Mega","Scovillain-Mega","Basculegion","Lycanroc-Dusk","Sneasler","Kingambit","","",""
"PC1058","In Person Event","Peppe's Turin SPE 2026 Top 8 Team","","Giuseppe Musicco","","","","Charizardite Y","","","Chople Berry","","","Choice Scarf","","","Focus Sash","","","Black Glasses","","","Sitrus Berry","","https://pokepast.es/cd97cbe8dc83d5ca","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","7th","https://x.com/peppemusicco/status/2063673079176351777","-","https://victoryroad.pro/2026-turin/","peppemusicco","","Charizard","Incineroar","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1057","In Person Event","Louis' Turin SPE 2026 Top 8 Team","","Louis Markl","","","","Floettite","","","Sitrus Berry","","","Choice Scarf","","","White Herb","","","Focus Sash","","","Black Glasses","","https://pokepast.es/2559c0e1adf1d2cd","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","8th","https://x.com/Louisvgc/status/2063646603219481050","-","https://victoryroad.pro/2026-turin/","Louisvgc","","Floette-Eternal-Mega","Incineroar","Basculegion","Sneasler","Sinistcha","Kingambit","","",""
"PC1056","In Person Event","Desu's Turin SPE 2026 Top 16 Team","","Nico Davide Cognetta","","","","Gengarite","","","Passho Berry","","","Sitrus Berry","","","Kasib Berry","","","Shuca Berry","","","Leftovers","","https://pokepast.es/932951bd958706c0","Yes","Extracted","✔","JNLJW321F7","7 Jun 2026","Turin SPE 2026","9th","https://x.com/DesuVGC/status/2063582312848093349?s=20","-","https://victoryroad.pro/2026-turin/","DesuVGC","","Gengar-Mega","Incineroar","Politoed","Sinistcha","Tinkaton","Kommo-o","","",""
"PC1055","In Person Event","Mava's Turin SPE 2026 Top 16 Team","","Matteo Ballini","","","","Froslassite","","","Scovillainite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Black Glasses","","https://pokepast.es/9aa55277c62bfe99","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","10th","https://x.com/MavaVgc/status/2063714729026015349","-","https://victoryroad.pro/2026-turin/","MavaVgc","","Froslass-Mega","Scovillain-Mega","Basculegion","Lycanroc-Dusk","Sneasler","Kingambit","","",""
"PC1054","In Person Event","Francesco Pio Pero's Turin SPE 2026 Top 16 Team","","Francesco Pio Pero","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/cf08766a2e192ffb","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","11th","https://x.com/frpio_pero/status/2063573826961600581","-","https://victoryroad.pro/2026-turin/","frpio_pero","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC1053","In Person Event","Joey Davey's Turin SPE 2026 Top 16 Team","","Joey Davey","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Kasib Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/0b3f8fd619643ff3","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","12th","No Tweet","-","https://victoryroad.pro/2026-turin/","Manual Entry","","Floette-Eternal-Mega","Charizard","Incineroar","Sinistcha","Aegislash","Garchomp","","",""
"PC1052","In Person Event","Nelson Fonkoua's Turin SPE 2026 Top 16 Team","","Nelson Fonkoua","","","","Floettite","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Chople Berry","","","Roseli Berry","","https://pokepast.es/b73e02a80c9f27d9","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","13th","https://x.com/jarmanVGC/status/2063600866838323410","-","https://victoryroad.pro/2026-turin/","jarmanVGC","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1051","In Person Event","Torviv's Turin SPE 2026 Top 16 Team","","Víctor Medina","","","","Delphoxite","","","Floettite","","","Sitrus Berry","","","Focus Sash","","","Kasib Berry","","","Black Glasses","","https://pokepast.es/e5606fbc6f1b12d7","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","14th","https://x.com/TorvivVGC/status/2063648933704859715","-","https://victoryroad.pro/2026-turin/","TorvivVGC","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC1050","In Person Event","Giulio Tarlao's Turin SPE 2026 Top 16 Team","","Giulio Tarlao","","","","Aerodactylite","","","Floettite","","","Passho Berry","","","Focus Sash","","","Occa Berry","","","Chople Berry","","https://pokepast.es/c26a6692883b1e91","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","15th","No Tweet","-","https://victoryroad.pro/2026-turin/","Manual Entry","","Aerodactyl-Mega","Floette-Eternal-Mega","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC1049","In Person Event","Nicholas Belometti's Turin SPE 2026 Top 16 Team","","Nicholas Belometti","","","","Floettite","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Black Glasses","","","Roseli Berry","","https://pokepast.es/4d37a05666630b9e","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","16th","https://x.com/JoyBoyVgc/status/2063706201527820374","-","https://victoryroad.pro/2026-turin/","JoyBoyVgc","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1048","In Person Event","Lorenzo Allemagna's Turin SPE 2026 Top 32 Team","","Lorenzo Allemagna","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Kasib Berry","","","Choice Scarf","","https://pokepast.es/3da5f5f5680ac29c","Yes","Extracted","✔","8W5SN9Y5NQ","7 Jun 2026","Turin SPE 2026","19th","https://x.com/LemVGC/status/2063633458929324135","-","https://victoryroad.pro/2026-turin/","LemVGC","","Floette-Eternal-Mega","Charizard","Incineroar","Venusaur","Sinistcha","Garchomp","","",""
"PC1047","In Person Event","Kera & Noguerol's Turin SPE 2026 Top 16 Team","","Kera & Noguerol","","","","Dragoninite","","","Scizorite","","","Choice Scarf","","","Sitrus Berry","","","Focus Sash","","","Leftovers","","https://pokepast.es/41ee940115e40cff","Yes","Owner's","X","None","7 Jun 2026","Turin SPE 2026","24th & 32nd","https://x.com/hugoo_0503/status/2063567395810144551","-","https://victoryroad.pro/2026-turin/","hugoo_0503","","Dragonite-Mega","Scizor-Mega","Basculegion","Pelipper","Maushold","Archaludon","","",""
"PC1046","In Person Event","Boyt's Turin SPE 2026 Top 32 Team","","Jamie Boyt","","","","Floettite","","","Charcoal","","","Leftovers","","","Sitrus Berry","","","Colbur Berry","","","Dragon Fang","","https://pokepast.es/8ae5cbbed39ada71","Yes","Owner's","X","None","8 Jun 2026","Turin SPE 2026","27th","https://x.com/JamieBoytVGC/status/2063612561656877445?s=20","https://youtu.be/HKRAWCvt0ig?si=qYg7kbv4UNRvGg8P","https://victoryroad.pro/2026-turin/","JamieBoytVGC","","Floette-Eternal-Mega","Ceruledge","Milotic","Serperior","Wyrdeer","Kommo-o","","",""
"PC1045","In Person Event","schianchi_luca's Turin SPE 2026 Top 64 Team","","schianchi_luca","","","","Dragoninite","","","Scizorite","","","Choice Scarf","","","Sitrus Berry","","","White Herb","","","Leftovers","","https://pokepast.es/23e4b433c36464b9","Yes","Extracted","✔","YN13RCCMLN","8 Jun 2026","Turin SPE 2026","37th","https://x.com/schianchi_luca/status/2063959584297869740?s=46","-","https://victoryroad.pro/2026-turin/","schianchi_luca","","Dragonite-Mega","Scizor-Mega","Basculegion","Pelipper","Sneasler","Archaludon","","",""
"PC1044","In Person Event","Charalampos Frimas' Turin SPE 2026 Top 64 Team","","Charalampos Frimas","","","","Abomasite","","","Kangaskhanite","","","White Herb","","","Black Belt","","","Sitrus Berry","","","Black Glasses","","https://pokepast.es/5ac5e24a7c99e647","Yes","Extracted","✔","37EQBM507R","7 Jun 2026","Turin SPE 2026","59th","https://x.com/babouras01/status/2063563099655799212?s=46","-","https://victoryroad.pro/2026-turin/","babouras01","","Abomasnow-Mega","Kangaskhan-Mega","Incineroar","Gallade","Farigiraf","Kingambit","","",""
"PC1043","In Person Event","JohnnyHax's Turin SPE 2026 Top 128 Team","","JohnnyHax","","","","Froslassite","","","Tyranitarite","","","Focus Sash","","","Choice Scarf","","","Occa Berry","","","Sitrus Berry","","https://pokepast.es/8dcd70e1528f30c5","Yes","Extracted","✔","LBHYGBJXD9","8 Jun 2026","Turin SPE 2026","78th","https://x.com/johnnyhax/status/2064063448959345035?s=46","-","https://victoryroad.pro/2026-turin/","johnnyhax","","Froslass-Mega","Tyranitar-Mega","Arcanine-Hisui","Rotom-Wash","Corviknight","Garchomp","","",""
"PC1042","In Person Event","GiachyVGC's Turin SPE 2026 Top 128 Team","","Giacomo Bovolenta","","","","Blastoisinite","","","Floettite","","","Chople Berry","","","White Herb","","","Focus Sash","","","Kasib Berry","","https://pokepast.es/fa89ffa4ca7f4926","Yes","Extracted","✔","3Y5AY10E77","7 Jun 2026","Turin SPE 2026","82nd","https://x.com/GiachyVGC/status/2063586140041466289","-","https://victoryroad.pro/2026-turin/","GiachyVGC","","Blastoise-Mega","Floette-Eternal-Mega","Incineroar","Sneasler","Maushold","Sinistcha","","",""
"PC1041","In Person Event","Javier Moreno's Turin SPE 2026 Top 128 Team","","Javier Moreno","","","","Floettite","","","Sitrus Berry","","","Magnet","","","Kasib Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/0431bc6a368e5b9d","Yes","Extracted","✔","24J2LHELVW","8 Jun 2026","Turin SPE 2026","93rd","https://x.com/trezkovgc/status/2063865762196947117?s=46","-","https://victoryroad.pro/2026-turin/","trezkovgc","","Floette-Eternal-Mega","Incineroar","Rotom-Wash","Sinistcha","Aegislash","Garchomp","","",""
"PC1026","In Person Event","Arsal and Ink's Indianapolis Regional 2026 Champion Team","🥇","Arsal Puri","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Kasib Berry","","","Choice Scarf","","https://pokepast.es/3f1172f05dbb7228","Yes","Owner's","✔","7UWGKDSYDT","1 Jun 2026","Indianapolis Regional 2026","Champion","https://x.com/SalTheDealer/status/2061215817484599649","https://youtu.be/dPxESNneJQ8?si=jaYlD1Ej5AF_sW2f","https://victoryroad.pro/2026-indianapolis/","SalTheDealer","","Floette-Eternal-Mega","Charizard","Incineroar","Venusaur","Sinistcha","Garchomp","","",""
"PC1025","In Person Event","Wolfey's Indianapolis Regional 2026 Runner Up Team","🥈","Wolfe Glick","","","","Steelixite","","","Tyranitarite","","","Sharp Beak","","","Leftovers","","","White Herb","","","Sitrus Berry","","https://pokepast.es/f59a1edb05933145","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","Runner Up","https://x.com/WolfeyGlick/status/2061468138839880179","-","https://victoryroad.pro/2026-indianapolis/","WolfeyGlick","","Steelix-Mega","Tyranitar-Mega","Talonflame","Rotom-Wash","Sneasler","Sinistcha","","",""
"PC1024","In Person Event","Michael's Indianapolis Regional 2026 Top 4 Team","🥉","Michael Zhang","","","","Froslassite","","","Tyranitarite","","","Focus Sash","","","Occa Berry","","","Sitrus Berry","","","Choice Scarf","","https://pokepast.es/9474dfa196a4a71a","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","3rd","https://x.com/EternalSnowman/status/2061212689649537428","-","https://victoryroad.pro/2026-indianapolis/","EternalSnowman","","Froslass-Mega","Tyranitar-Mega","Arcanine-Hisui","Corviknight","Garchomp","Hydreigon","","",""
"PC1023","In Person Event","NailsOU's Indianapolis Regional 2026 Top 4 Team","🥉","Nick Navarre","","","","Floettite","","","Sitrus Berry","","","Sharp Beak","","","Leftovers","","","Focus Sash","","","Black Glasses","","https://pokepast.es/0a6f9bce4ebcde20","Yes","Owner's","✔","7EE63QJ83W","1 Jun 2026","Indianapolis Regional 2026","4th","https://x.com/NailsOU/status/2061910815104532779","https://youtu.be/hOj1S65Zmc0?si=RiHmJ60Ns5rtaFjq","https://victoryroad.pro/2026-indianapolis/","NailsOU","","Floette-Eternal-Mega","Incineroar","Talonflame","Palafin","Sneasler","Kingambit","","",""
"PC1022","In Person Event","Evan Scott & Jon-LukeVGC's Indianapolis Regional 2026 Top 8 Team","","Evan Scott & Jon-LukeVGC","","","","Froslassite","","","Chople Berry","","","Focus Sash","","","Fairy Feather","","","Leftovers","","","Sitrus Berry","","https://pokepast.es/0231c51d20f1567d","Yes","Owner's","✔","P8TFW4RAGY","1 Jun 2026","Indianapolis Regional 2026","5th","https://x.com/evan_scott22/status/2061215271600173114","https://x.com/YesMess72837/status/2061935543106019527?s=20","https://victoryroad.pro/2026-indianapolis/","evan_scott22","","Froslass-Mega","Incineroar","Glimmora","Whimsicott","Corviknight","Garchomp","","",""
"PC1021","In Person Event","Lexicon's Indianapolis Regional 2026 Top 8 Team","","Alex Underhill","","","","Dragoninite","","","Froslassite","","","Sitrus Berry","","","White Herb","","","Black Glasses","","","Roseli Berry","","https://pokepast.es/ec4277a441114103","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","6th","https://x.com/LexiconVGC/status/2061408343105622184","-","https://victoryroad.pro/2026-indianapolis/","LexiconVGC","","Dragonite-Mega","Froslass-Mega","Basculegion","Sneasler","Kingambit","Garchomp","","",""
"PC1020","In Person Event","AtrixMJ's Indianapolis Regional 2026 Top 8 Team","","Michael Rogers","","","","Garchompite","","","Charizardite Y","","","Passho Berry","","","Focus Sash","","","Twisted Spoon","","","Fairy Feather","","https://pokepast.es/7fbda7e5dae1ec60","Yes","Owner's","X","None","2 Jun 2026","Indianapolis Regional 2026","7th","https://x.com/atrixmj/status/2061628692829286628?s=46","https://x.com/atrixmj/status/2061647654761775162?s=46","https://victoryroad.pro/2026-indianapolis/","atrixmj","","Garchomp-Mega","Charizard","Incineroar","Aerodactyl","Farigiraf","Sylveon","","",""
"PC1019","In Person Event","William Brown's Indianapolis Regional 2026 Top 8 Team","","William Brown","","","","Dragoninite","","","Scovillainite","","","Mystic Water","","","Focus Sash","","","Sitrus Berry","","","Leftovers","","https://pokepast.es/6a74ba3ac21cceb4","Yes","Extracted","✔","A3AEM9TLPP","1 Jun 2026","Indianapolis Regional 2026","8th","https://x.com/willbrown_vgc/status/2061471311172440259?s=46","-","https://victoryroad.pro/2026-indianapolis/","willbrown_vgc","","Dragonite-Mega","Scovillain-Mega","Politoed","Sneasler","Espathra","Archaludon","","",""
"PC1018","In Person Event","Atmosphere's Indianapolis Regional 2026 Top 16 Team","","Nathaniel Sitler","","","","Floettite","","","Gyaradosite","","","Shuca Berry","","","Focus Sash","","","Sitrus Berry","","","Roseli Berry","","https://pokepast.es/898dd093bb3275f3","Yes","Owner's","✔","FX540BL3WS","1 Jun 2026","Indianapolis Regional 2026","9th","https://x.com/atmospherevgc/status/2062930594191876546","https://youtu.be/VmSAA2CSBKY?si=FI2Zm_iTvDDrxH1p","https://victoryroad.pro/2026-indianapolis/","atmospherevgc","","Floette-Eternal-Mega","Gyarados-Mega","Incineroar","Sneasler","Sinistcha","Garchomp","","",""
"PC1017","In Person Event","Brendan DeWerth's Indianapolis Regional 2026 Top 16 Team","","Brendan DeWerth","","","","Tyranitarite","","","Sitrus Berry","","","Focus Sash","","","Leftovers","","","Spell Tag","","","Haban Berry","","https://pokepast.es/082249f793d19a00","Yes","Extracted","✔","WLPVURQYCN","1 Jun 2026","Indianapolis Regional 2026","10th","https://x.com/liquidvgc/status/2061225176851677672?s=46","-","https://victoryroad.pro/2026-indianapolis/","liquidvgc","","Tyranitar-Mega","Rotom-Wash","Excadrill","Corviknight","Mimikyu","Hydreigon","","",""
"PC1016","In Person Event","Chase Thompson's Indianapolis Regional 2026 Top 16 Team","","Chase Thompson","","","","Tyranitarite","","","Sitrus Berry","","","Focus Sash","","","Kasib Berry","","","Leftovers","","","Dragon Fang","","https://pokepast.es/98941bb0af951522","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","11th","https://x.com/NebulaVGC/status/2061174593042235833","-","https://victoryroad.pro/2026-indianapolis/","NebulaVGC","","Tyranitar-Mega","Gyarados","Excadrill","Sinistcha","Corviknight","Kommo-o","","",""
"PC1015","In Person Event","BattleRoom's Indianapolis Regional 2026 Top 16 Team","","Collin Heier","","","","Dragoninite","","","Froslassite","","","Leftovers","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/cab34b297f37f8e6","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","12th","https://x.com/BattleRoom/status/2061138634925896154","-","https://victoryroad.pro/2026-indianapolis/","BattleRoom","","Dragonite-Mega","Froslass-Mega","Palafin","Sneasler","Kingambit","Garchomp","","",""
"PC1014","In Person Event","Darts' Indianapolis Regional 2026 Top 16 Team","","Christopher H.","","","","Charizardite Y","","","Choice Scarf","","","White Herb","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/3f02477d15479487","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","13th","https://x.com/dartsvg/status/2061133994985480386","-","https://victoryroad.pro/2026-indianapolis/","dartsvg","","Charizard","Basculegion","Sneasler","Whimsicott","Kingambit","Garchomp","","",""
"PC1013","In Person Event","Noah Gardner's Indianapolis Regional 2026 Top 16 Team","","Noah Gardner","","","","Floettite","","","Sitrus Berry","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Black Glasses","","https://pokepast.es/b5b111c75cfcf081","Yes","Owner's","✔","V9GNNMRW9J","2 Jun 2026","Indianapolis Regional 2026","14th","https://x.com/MemesNDreamsVGC/status/2061418788478759043?s=20","-","https://victoryroad.pro/2026-indianapolis/","MemesNDreamsVGC","","Floette-Mega","Incineroar","Basculegion","Sneasler","Maushold","Kingambit","","",""
"PC1012","In Person Event","AJ Morton's Indianapolis Regional 2026 Top 16 Team","","AJ Morton","","","","Floettite","","","Charizardite X","","","Chople Berry","","","Focus Sash","","","Sitrus Berry","","","Black Glasses","","https://pokepast.es/0b9f0b45b2561cec","No","Owner's","X","None","1 Jun 2026","Indianapolis Regional 2026","15th","https://x.com/morton_aj/status/2061624466682134878","-","https://victoryroad.pro/2026-indianapolis/","morton_aj","","Floette-Eternal-Mega","Charizard","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
